CourseID,Rank
T200003,5.061377127288521
T100001,5.051862086403699
T200001,5.029812898362004
T200002,5.026533972729374
T100005,5.024569892473118
T107005,5.0098934550989345
T207040,5.005979664972081
T207041,5.005028980565974
T200000,4.994553376906318
T100000,4.991847826086956
T207000,4.983898305084746
T100007,4.9836851957776505
T100004,4.982958418541241
T207033,4.97356719367589
T100006,4.942427385892116
T100003,4.936478454680535
T107009,4.934738955823293
T207012,4.157103825136612
T207002,4.117647058823529
T207038,4.095549738219895
T207004,4.002673796791444
T106006,3.9776785714285716
T206060,3.9456521739130435
T105001,3.8540372670807455
T207036,3.8497191011235956
T108000,3.8094512195121952
T207034,3.7726063829787235
T207037,3.76625
T106001,3.754076086956522
T207035,3.696132596685083
T108002,3.602272727272727
T207059,2.125
12E050SCIENCES,1.8418367346938775
12E051SCIENCES,1.7692307692307692
J2P201,1.482371794871795
J2P015,1.4523809523809523
J2D035,1.3071895424836601
5870,1.303030303030303
T206057,1.2532894736842106
T205020,1.2463768115942029
T208012,1.1655629139072847
T206056,1.1285310734463276
T205027,1.0734265734265733
T206024,1.0559006211180124
T206002,1.0354609929078014
T205004,1.0326797385620916
5869,1.0168918918918919
T208014,1.0090361445783131
T206001,0.9957865168539326
T208003,0.9313725490196079
T108003,0.9294871794871795
S102013,0.9201388888888888
T208000,0.8703125
T206058,0.801094890510949
T206006,0.7661870503597122
T206054,0.7053571428571429
T208011,0.6766666666666666
T206007,0.05555555555555555
T205011,0.03985507246376811
T208016,0.037037037037037035
T208013,0.031879194630872486
T208017,0.0
T205000,0.0
T205023,0.0
T206059,0.0
T208015,0.0
T214006,0.0
T208033,0.0
