ClusterID,StudentID,CourseID,mean_cluster_grade,count
0,64,T207038,5.0,225
0,64,T207035,5.0,214
0,64,T207004,5.0,194
0,64,T207036,5.0,190
0,64,T206060,5.0,184
0,64,T207034,5.0,178
0,64,T207059,5.0,92
0,64,12E051SCIENCES,5.0,82
0,64,12E050SCIENCES,5.0,82
0,66,T207002,5.0,233
0,66,T207035,5.0,214
0,66,T207037,5.0,207
0,66,T207004,5.0,194
0,66,T207036,5.0,190
0,66,T206060,5.0,184
0,66,T207034,5.0,178
0,66,T207059,5.0,92
0,66,12E051SCIENCES,5.0,82
0,66,12E050SCIENCES,5.0,82
0,69,T207002,5.0,233
0,69,T207038,5.0,225
0,69,T207004,5.0,194
0,69,T207036,5.0,190
0,69,T206060,5.0,184
0,69,T207034,5.0,178
0,69,T207059,5.0,92
0,69,12E051SCIENCES,5.0,82
0,69,12E050SCIENCES,5.0,82
0,69,J2D035,5.0,81
0,75,T207002,5.0,233
0,75,T207038,5.0,225
0,75,T207004,5.0,194
0,75,T207036,5.0,190
0,75,T206060,5.0,184
0,75,T207034,5.0,178
0,75,T207059,5.0,92
0,75,12E051SCIENCES,5.0,82
0,75,12E050SCIENCES,5.0,82
0,75,J2D035,5.0,81
0,80,T207002,5.0,233
0,80,T207038,5.0,225
0,80,T207004,5.0,194
0,80,T207036,5.0,190
0,80,T206060,5.0,184
0,80,T207034,5.0,178
0,80,T207059,5.0,92
0,80,12E051SCIENCES,5.0,82
0,80,12E050SCIENCES,5.0,82
0,80,J2D035,5.0,81
0,92,T207037,5.0,207
0,92,T207004,5.0,194
0,92,T207036,5.0,190
0,92,T206060,5.0,184
0,92,T207034,5.0,178
0,92,T207059,5.0,92
0,92,12E051SCIENCES,5.0,82
0,92,12E050SCIENCES,5.0,82
0,92,J2D035,5.0,81
0,92,J2P201,5.0,76
0,95,T207002,5.0,233
0,95,T207012,5.0,233
0,95,T207035,5.0,214
0,95,T207037,5.0,207
0,95,T207004,5.0,194
0,95,T207036,5.0,190
0,95,T206060,5.0,184
0,95,T207034,5.0,178
0,95,T207059,5.0,92
0,95,12E051SCIENCES,5.0,82
0,113,T207037,5.0,207
0,113,T207004,5.0,194
0,113,T207036,5.0,190
0,113,T206060,5.0,184
0,113,T207034,5.0,178
0,113,T207059,5.0,92
0,113,12E051SCIENCES,5.0,82
0,113,12E050SCIENCES,5.0,82
0,113,J2D035,5.0,81
0,113,J2P201,5.0,76
0,122,T207002,5.0,233
0,122,T207012,5.0,233
0,122,T207038,5.0,225
0,122,T207004,5.0,194
0,122,T207036,5.0,190
0,122,T206060,5.0,184
0,122,T207034,5.0,178
0,122,T207059,5.0,92
0,122,12E051SCIENCES,5.0,82
0,122,12E050SCIENCES,5.0,82
0,125,T207037,5.0,207
0,125,T207004,5.0,194
0,125,T207036,5.0,190
0,125,T206060,5.0,184
0,125,T207034,5.0,178
0,125,T207059,5.0,92
0,125,12E051SCIENCES,5.0,82
0,125,12E050SCIENCES,5.0,82
0,125,J2D035,5.0,81
0,125,J2P201,5.0,76
0,132,T207012,5.0,233
0,132,T207004,5.0,194
0,132,T207036,5.0,190
0,132,T206060,5.0,184
0,132,T207034,5.0,178
0,132,T207059,5.0,92
0,132,12E051SCIENCES,5.0,82
0,132,12E050SCIENCES,5.0,82
0,132,J2D035,5.0,81
0,132,J2P201,5.0,76
0,145,T207002,5.0,233
0,145,T207037,5.0,207
0,145,T207004,5.0,194
0,145,T207036,5.0,190
0,145,T206060,5.0,184
0,145,T207034,5.0,178
0,145,T207059,5.0,92
0,145,12E051SCIENCES,5.0,82
0,145,12E050SCIENCES,5.0,82
0,145,J2D035,5.0,81
0,150,T207002,5.0,233
0,150,T207037,5.0,207
0,150,T207004,5.0,194
0,150,T207036,5.0,190
0,150,T206060,5.0,184
0,150,T207034,5.0,178
0,150,T207059,5.0,92
0,150,12E051SCIENCES,5.0,82
0,150,12E050SCIENCES,5.0,82
0,150,J2D035,5.0,81
0,152,T207002,5.0,233
0,152,T207012,5.0,233
0,152,T207035,5.0,214
0,152,T207037,5.0,207
0,152,T207004,5.0,194
0,152,T207036,5.0,190
0,152,T206060,5.0,184
0,152,T207034,5.0,178
0,152,T207059,5.0,92
0,152,12E051SCIENCES,5.0,82
0,172,T207035,5.0,214
0,172,T207004,5.0,194
0,172,T207036,5.0,190
0,172,T206060,5.0,184
0,172,T207034,5.0,178
0,172,T207059,5.0,92
0,172,12E051SCIENCES,5.0,82
0,172,12E050SCIENCES,5.0,82
0,172,J2D035,5.0,81
0,172,J2P201,5.0,76
0,173,T207002,5.0,233
0,173,T207012,5.0,233
0,173,T207037,5.0,207
0,173,T207004,5.0,194
0,173,T207036,5.0,190
0,173,T206060,5.0,184
0,173,T207034,5.0,178
0,173,T207059,5.0,92
0,173,12E051SCIENCES,5.0,82
0,173,12E050SCIENCES,5.0,82
0,175,T207002,5.0,233
0,175,T207037,5.0,207
0,175,T207004,5.0,194
0,175,T207036,5.0,190
0,175,T206060,5.0,184
0,175,T207034,5.0,178
0,175,T207059,5.0,92
0,175,12E051SCIENCES,5.0,82
0,175,12E050SCIENCES,5.0,82
0,175,J2D035,5.0,81
0,187,T207012,5.0,233
0,187,T207004,5.0,194
0,187,T207036,5.0,190
0,187,T206060,5.0,184
0,187,T207034,5.0,178
0,187,T207059,5.0,92
0,187,12E051SCIENCES,5.0,82
0,187,12E050SCIENCES,5.0,82
0,187,J2D035,5.0,81
0,187,J2P201,5.0,76
0,189,T207037,5.0,207
0,189,T207004,5.0,194
0,189,T207036,5.0,190
0,189,T206060,5.0,184
0,189,T207034,5.0,178
0,189,T207059,5.0,92
0,189,12E051SCIENCES,5.0,82
0,189,12E050SCIENCES,5.0,82
0,189,J2D035,5.0,81
0,189,J2P201,5.0,76
0,193,T207037,5.0,207
0,193,T207004,5.0,194
0,193,T207036,5.0,190
0,193,T206060,5.0,184
0,193,T207034,5.0,178
0,193,T207059,5.0,92
0,193,12E051SCIENCES,5.0,82
0,193,12E050SCIENCES,5.0,82
0,193,J2D035,5.0,81
0,193,J2P201,5.0,76
0,194,T207037,5.0,207
0,194,T207004,5.0,194
