ClusterID,StudentID,CourseID,mean_cluster_grade,count
0,2,12E050SCIENCES,5.0,82
0,2,12E051SCIENCES,5.0,82
0,2,T208012,5.0,64
0,2,T208011,5.0,33
0,2,T208003,5.0,43
0,2,T208000,5.0,46
0,2,T207059,5.0,92
0,2,T207037,5.0,207
0,2,T207036,5.0,190
0,2,T207034,5.0,178
0,6,12E050SCIENCES,5.0,82
0,6,T206056,5.0,51
0,6,T208012,5.0,64
0,6,T208011,5.0,33
0,6,T208003,5.0,43
0,6,T208000,5.0,46
0,6,T207059,5.0,92
0,6,T207037,5.0,207
0,6,T207036,5.0,190
0,6,T207034,5.0,178
0,9,12E050SCIENCES,5.0,82
0,9,T206056,5.0,51
0,9,T208012,5.0,64
0,9,T208011,5.0,33
0,9,T208003,5.0,43
0,9,T208000,5.0,46
0,9,T207059,5.0,92
0,9,T207038,5.0,225
0,9,T207036,5.0,190
0,9,T207034,5.0,178
0,16,12E050SCIENCES,5.0,82
0,16,12E051SCIENCES,5.0,82
0,16,T208012,5.0,64
0,16,T208011,5.0,33
0,16,T208003,5.0,43
0,16,T208000,5.0,46
0,16,T207059,5.0,92
0,16,T207036,5.0,190
0,16,T207035,5.0,214
0,16,T207034,5.0,178
0,17,12E050SCIENCES,5.0,82
0,17,T206056,5.0,51
0,17,T208012,5.0,64
0,17,T208011,5.0,33
0,17,T208003,5.0,43
0,17,T208000,5.0,46
0,17,T207059,5.0,92
0,17,T207036,5.0,190
0,17,T207035,5.0,214
0,17,T207034,5.0,178
0,18,12E050SCIENCES,5.0,82
0,18,T206056,5.0,51
0,18,T208012,5.0,64
0,18,T208011,5.0,33
0,18,T208003,5.0,43
0,18,T208000,5.0,46
0,18,T207059,5.0,92
0,18,T207038,5.0,225
0,18,T207036,5.0,190
0,18,T207034,5.0,178
0,20,12E050SCIENCES,5.0,82
0,20,T206056,5.0,51
0,20,T208012,5.0,64
0,20,T208011,5.0,33
0,20,T208003,5.0,43
0,20,T208000,5.0,46
0,20,T207059,5.0,92
0,20,T207038,5.0,225
0,20,T207036,5.0,190
0,20,T207034,5.0,178
0,23,12E050SCIENCES,5.0,82
0,23,12E051SCIENCES,5.0,82
0,23,T208012,5.0,64
0,23,T208011,5.0,33
0,23,T208003,5.0,43
0,23,T208000,5.0,46
0,23,T207059,5.0,92
0,23,T207036,5.0,190
0,23,T207035,5.0,214
0,23,T207034,5.0,178
0,38,12E050SCIENCES,5.0,82
0,38,12E051SCIENCES,5.0,82
0,38,T208012,5.0,64
0,38,T208011,5.0,33
0,38,T208003,5.0,43
0,38,T208000,5.0,46
0,38,T207059,5.0,92
0,38,T207038,5.0,225
0,38,T207036,5.0,190
0,38,T207035,5.0,214
0,40,12E050SCIENCES,5.0,82
0,40,T206057,5.0,45
0,40,T208012,5.0,64
0,40,T208011,5.0,33
0,40,T208003,5.0,43
0,40,T208000,5.0,46
0,40,T207059,5.0,92
0,40,T207038,5.0,225
0,40,T207037,5.0,207
0,40,T207036,5.0,190
0,41,12E050SCIENCES,5.0,82
0,41,12E051SCIENCES,5.0,82
0,41,T208012,5.0,64
0,41,T208011,5.0,33
0,41,T208003,5.0,43
0,41,T208000,5.0,46
0,41,T207059,5.0,92
0,41,T207036,5.0,190
0,41,T207035,5.0,214
0,41,T207034,5.0,178
0,45,12E050SCIENCES,5.0,82
0,45,12E051SCIENCES,5.0,82
0,45,T208012,5.0,64
0,45,T208011,5.0,33
0,45,T208003,5.0,43
0,45,T208000,5.0,46
0,45,T207059,5.0,92
0,45,T207038,5.0,225
0,45,T207036,5.0,190
0,45,T207035,5.0,214
0,47,12E050SCIENCES,5.0,82
0,47,12E051SCIENCES,5.0,82
0,47,T208012,5.0,64
0,47,T208011,5.0,33
0,47,T208003,5.0,43
0,47,T208000,5.0,46
0,47,T207059,5.0,92
0,47,T207038,5.0,225
0,47,T207036,5.0,190
0,47,T207034,5.0,178
0,48,12E050SCIENCES,5.0,82
0,48,12E051SCIENCES,5.0,82
0,48,T208012,5.0,64
0,48,T208011,5.0,33
0,48,T208003,5.0,43
0,48,T208000,5.0,46
0,48,T207059,5.0,92
0,48,T207036,5.0,190
0,48,T207034,5.0,178
0,48,T207012,5.0,233
0,51,12E050SCIENCES,5.0,82
0,51,T206056,5.0,51
0,51,T208012,5.0,64
0,51,T208011,5.0,33
0,51,T208003,5.0,43
0,51,T208000,5.0,46
0,51,T207059,5.0,92
0,51,T207038,5.0,225
0,51,T207036,5.0,190
0,51,T207034,5.0,178
0,52,12E050SCIENCES,5.0,82
0,52,12E051SCIENCES,5.0,82
0,52,T208012,5.0,64
0,52,T208011,5.0,33
0,52,T208003,5.0,43
0,52,T208000,5.0,46
0,52,T207059,5.0,92
0,52,T207037,5.0,207
0,52,T207036,5.0,190
0,52,T207034,5.0,178
0,59,12E050SCIENCES,5.0,82
0,59,12E051SCIENCES,5.0,82
0,59,T208012,5.0,64
0,59,T208011,5.0,33
0,59,T208003,5.0,43
0,59,T208000,5.0,46
0,59,T207059,5.0,92
0,59,T207036,5.0,190
0,59,T207035,5.0,214
0,59,T207034,5.0,178
0,61,12E050SCIENCES,5.0,82
0,61,T206056,5.0,51
0,61,T208012,5.0,64
0,61,T208011,5.0,33
0,61,T208003,5.0,43
0,61,T208000,5.0,46
0,61,T207059,5.0,92
0,61,T207038,5.0,225
0,61,T207036,5.0,190
0,61,T207034,5.0,178
0,64,12E050SCIENCES,5.0,82
0,64,12E051SCIENCES,5.0,82
0,64,T208012,5.0,64
0,64,T208011,5.0,33
0,64,T208003,5.0,43
0,64,T208000,5.0,46
0,64,T207059,5.0,92
0,64,T207038,5.0,225
0,64,T207036,5.0,190
0,64,T207035,5.0,214
0,66,12E050SCIENCES,5.0,82
0,66,12E051SCIENCES,5.0,82
0,66,T208012,5.0,64
0,66,T208011,5.0,33
0,66,T208003,5.0,43
0,66,T208000,5.0,46
0,66,T207059,5.0,92
0,66,T207037,5.0,207
0,66,T207036,5.0,190
0,66,T207035,5.0,214
