CourseID,Rank
T100007,1.0
T200000,1.0
T100000,1.0
T100006,1.0
T100005,1.0
T207000,1.0
T207041,1.0
T207040,1.0
T200003,1.0
T200001,1.0
T100004,1.0
T100003,1.0
T100001,1.0
T107005,1.0
T107009,1.0
T207033,1.0
T200002,1.0
T207002,0.8496732026143791
T207012,0.8402777777777778
T207038,0.8322981366459627
T106006,0.8266666666666667
T207004,0.8231292517006803
T206060,0.7905405405405406
T105001,0.7843137254901961
T207036,0.782608695652174
T108000,0.751937984496124
T207034,0.7516339869281046
T207035,0.7450980392156863
T106001,0.7419354838709677
T207037,0.7361963190184049
T108002,0.7037037037037037
T207059,0.4264705882352941
12E051SCIENCES,0.36231884057971014
12E050SCIENCES,0.35766423357664234
J2P201,0.3051948051948052
J2P015,0.30246913580246915
J2D035,0.2631578947368421
T205020,0.25735294117647056
5870,0.25308641975308643
T206057,0.24666666666666667
T208012,0.23648648648648649
T206056,0.23295454545454544
T206024,0.2125
T205004,0.2119205298013245
T206002,0.21014492753623187
T205027,0.20863309352517986
T208014,0.2073170731707317
5869,0.2054794520547945
T206001,0.19540229885057472
S102013,0.1888111888111888
T208003,0.18791946308724833
T108003,0.1830065359477124
T208000,0.1761006289308176
T206058,0.16296296296296298
T206006,0.14074074074074075
T206054,0.13768115942028986
T208011,0.1342281879194631
T206007,0.011695906432748537
T208016,0.007407407407407408
T205011,0.0072992700729927005
T208013,0.006711409395973154
T205023,0.0
T208017,0.0
T208015,0.0
T205000,0.0
T206059,0.0
T214006,0.0
T208033,0.0
