CourseID,StudentID,Grades
742007,457,4.5
742006,457,5.0
742004,457,5.5
742003,457,4.25
742062,457,6.0
742066,457,4.75
742060,457,5.25
742067,457,5.75
742066,457,4.75
7420AD,457,5.5
742120,457,5.75
742205,457,5.5
742208,457,5.0
742214,457,6.0
742206,457,5.0
742211,457,5.25
742209,457,4.5
742851,457,4.75
742871,457,4.75
742271,457,4.25
742841,457,5.0
742261,457,5.0
742262,457,4.25
742329,457,4.25
742334,457,5.0
742338,457,5.25
742336,457,5.75
742331,457,4.0
742344,457,5.25
742383,457,5.0
742389,457,5.75
742385,457,5.25
742382,457,4.5
742396,457,4.75
742870,457,5.75
7422A5,457,5.0
7422A8,457,4.25
7422A7,457,5.5
7417I,457,5.5
7422AQ,457,5.25
742450,457,4.5
742481,457,5.25
742518,457,4.75
742517,457,5.25
742007,595,4.0
742001,595,5.5
742111,595,4.5
742006,595,5.5
742062,595,4.75
742064,595,5.25
742060,595,5.0
742067,595,5.25
742066,595,4.75
7420AD,595,5.0
742121,595,4.75
742215,595,5.5
742209,595,4.5
742327,595,5.25
7414H,595,4.5
742211,595,4.5
742214,595,4.5
742851,595,5.25
742841,595,5.25
742270,595,4.0
742272,595,4.75
742262,595,5.25
742261,595,5.0
742336,595,4.75
742337,595,4.5
742343,595,5.25
742340,595,5.0
742342,595,5.25
742338,595,5.0
74110,595,5.0
742380,595,5.0
742383,595,5.25
742861,595,4.75
742386,595,6.0
752254,595,5.5
7422A5,595,5.25
7422A8,595,4.5
7422A7,595,5.25
7417I,595,4.75
7422AV,595,5.25
742450,595,6.0
742483,595,5.25
742515,595,4.5
742518,595,5.0
742002,485,5.25
742006,485,4.5
742000,485,5.0
742111,485,4.5
742064,485,4.75
7420601,485,5.5
742066,485,5.0
742062,485,5.0
74112,485,4.75
7421AC,485,5.5
742120,485,5.75
742206,485,5.0
7414H,485,4.75
742215,485,4.25
742205,485,5.75
742327,485,5.0
742209,485,5.25
742262,485,5.0
742841,485,5.0
742272,485,5.0
742271,485,6.0
742851,485,4.5
742871,485,4.75
742329,485,4.75
742331,485,6.0
742338,485,5.0
742343,485,4.5
742344,485,5.5
742340,485,4.75
742380,485,4.5
742861,485,4.75
742382,485,5.5
74146,485,5.0
742385,485,5.25
752254,485,5.0
7422A5,485,4.75
7422A8,485,5.0
7422A7,485,4.75
7417I,485,5.0
7422AH,485,4.5
742450,485,5.0
742481,485,5.0
742515,485,5.5
742516,485,5.0
742002,431,5.0
742007,431,5.25
742006,431,4.5
742000,431,5.0
742062,431,4.25
742060,431,4.75
742064,431,5.0
742067,431,5.0
742001,431,5.0
7421AG,431,4.75
742120,431,4.75
742209,431,4.5
J2M292,431,4.5
742205,431,5.0
742208,431,4.75
742215,431,5.25
742214,431,4.75
742871,431,5.25
742271,431,5.25
742262,431,4.75
742841,431,5.25
742840,431,4.75
742851,431,4.75
742331,431,5.25
742344,431,5.0
742329,431,5.25
742337,431,5.5
742342,431,5.25
742334,431,5.75
742380,431,4.0
