CourseID,Rank
7417I,0.5104416180290814
7422A5,0.5086806060429814
7422A7,0.5082926829268293
7422A8,0.5008442380751372
T207000,0.49881315700237366
T200003,0.49661628693886756
T100001,0.4948406676783004
T200000,0.49393238948280843
T207033,0.4922251018141429
T200002,0.4908376963350785
T207040,0.4905972045743329
T207041,0.48964127367996774
T100004,0.488
T100005,0.4873822975517891
T100003,0.48034188034188036
T107005,0.47983014861995754
T100006,0.4780534351145038
T107009,0.4658536585365854
T100007,0.4221105527638191
T207004,0.42084942084942084
T100000,0.41935483870967744
T200001,0.4158415841584158
T207002,0.41123595505617977
T106006,0.4065934065934066
742261,0.3961038961038961
T207038,0.3882113821138211
T108002,0.38524590163934425
T206060,0.37168141592920356
742481,0.36879432624113473
T106001,0.3673835125448029
742064,0.3644067796610169
742841,0.36363636363636365
T207036,0.358974358974359
742343,0.35714285714285715
T108000,0.3567251461988304
742062,0.35514018691588783
742271,0.35398230088495575
742066,0.3526717557251908
742067,0.3516483516483517
742871,0.3504273504273504
742060,0.3467048710601719
742209,0.3425925925925926
742331,0.34210526315789475
742840,0.3399778516057586
T105001,0.33986102337334173
742262,0.33980582524271846
T207012,0.3373493975903614
T207037,0.33678756476683935
742205,0.3333333333333333
74146,0.3333333333333333
742334,0.33043478260869563
742214,0.33016304347826086
742272,0.3277310924369748
742206,0.32432432432432434
742270,0.32
742215,0.3178294573643411
742337,0.3170731707317073
742208,0.3170731707317073
742450,0.31496062992125984
7420601,0.312
T207034,0.3063063063063063
742338,0.30357142857142855
742327,0.3008130081300813
742121,0.3
742002,0.2916666666666667
742342,0.2897196261682243
742383,0.28793774319066145
742120,0.28421052631578947
742006,0.2839506172839506
T207035,0.2835820895522388
742452,0.27835051546391754
742861,0.27350427350427353
742001,0.27048216385731083
742336,0.26595744680851063
742382,0.2631578947368421
742111,0.2621359223300971
742515,0.2619047619047619
742344,0.2558139534883721
742870,0.24731182795698925
7414H,0.24731182795698925
742385,0.2463768115942029
742004,0.24528301886792453
742386,0.24358974358974358
742516,0.24285714285714285
742340,0.24050632911392406
74110,0.23880597014925373
742007,0.23170731707317074
742003,0.22018348623853212
742211,0.21818181818181817
742397,0.21686746987951808
12E050SCIENCES,0.21348314606741572
742851,0.21311475409836064
742389,0.2
J2M292,0.19480519480519481
742396,0.18055555555555555
742329,0.17333333333333334
742514,0.17142857142857143
742000,0.16393442622950818
742518,0.15254237288135594
742517,0.1523809523809524
T208012,0.1518987341772152
J2D035,0.15
752254,0.15
T206024,0.14492753623188406
742380,0.14492753623188406
742483,0.14285714285714285
5869,0.14084507042253522
T206006,0.13333333333333333
J2P015,0.125
T207059,0.12
T206001,0.11666666666666667
J2P201,0.11594202898550725
T205027,0.11594202898550725
T108003,0.11267605633802817
T205020,0.1076923076923077
T208014,0.1044776119402985
12E051SCIENCES,0.09859154929577464
S102013,0.08823529411764706
7421AE,0.08823529411764706
71120,0.08771929824561403
T206057,0.08695652173913043
T208000,0.08695652173913043
5870,0.08620689655172414
T206054,0.08333333333333333
T206002,0.08196721311475409
T206056,0.07462686567164178
7422AT,0.06060606060606061
T206058,0.06
7422AK,0.057692307692307696
71133,0.0547945205479452
T205004,0.04918032786885246
7421AA,0.04918032786885246
T208011,0.04918032786885246
7420AD,0.04838709677419355
7422AQ,0.047619047619047616
7422AH,0.043478260869565216
T208003,0.041666666666666664
7422AN,0.041666666666666664
71105,0.03636363636363636
7420AF,0.03636363636363636
7421AD,0.03571428571428571
71121,0.03571428571428571
7420AB,0.031746031746031744
7422AV,0.030303030303030304
7421AB,0.028985507246376812
7421AC,0.0273972602739726
7422AU,0.024691358024691357
7422AG,0.022222222222222223
7422AA,0.01818181818181818
T208015,0.017543859649122806
7420AE,0.017543859649122806
7422AR,0.017241379310344827
7420AA,0.01694915254237288
T208013,0.016666666666666666
7420AH,0.016129032258064516
7422AS,0.015625
74112,0.015151515151515152
T208033,0.0
T205011,0.0
T205000,0.0
T205023,0.0
T214006,0.0
T206059,0.0
7421AG,0.0
T208016,0.0
7420AC,0.0
T206007,0.0
T208017,0.0
